"ID","Registry name","Spawns"
0,"minecraft:ocean","{ majruszs_difficulty:elite_skeleton [weight: 20, min: 1, max: 1] }; { majruszs_difficulty:giant [weight: 3, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:drowned [weight: 5, min: 1, max: 1] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:illusioner [weight: 20, min: 1, max: 2] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:dolphin [weight: 1, min: 1, max: 2] }; { minecraft:squid [weight: 1, min: 1, max: 4] }; { upgrade_aquatic:glow_squid [weight: 67, min: 1, max: 1] }; { aquaculture:atlantic_halibut [weight: 2, min: 1, max: 1] }; { aquaculture:atlantic_herring [weight: 20, min: 1, max: 6] }; { aquaculture:jellyfish [weight: 10, min: 1, max: 3] }; { aquaculture:red_grouper [weight: 6, min: 1, max: 2] }; { aquaculture:tuna [weight: 1, min: 1, max: 1] }; { minecraft:cod [weight: 10, min: 3, max: 6] }; { upgrade_aquatic:nautilus [weight: 51, min: 1, max: 4] }"
1,"minecraft:plains","{ alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { majruszs_difficulty:elite_skeleton [weight: 20, min: 1, max: 1] }; { majruszs_difficulty:giant [weight: 3, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:illusioner [weight: 20, min: 1, max: 2] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:donkey [weight: 1, min: 1, max: 3] }; { minecraft:horse [weight: 5, min: 2, max: 6] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { aquaculture:bluegill [weight: 20, min: 1, max: 6] }; { aquaculture:brown_trout [weight: 10, min: 1, max: 3] }; { aquaculture:carp [weight: 10, min: 1, max: 3] }; { aquaculture:catfish [weight: 1, min: 1, max: 1] }; { aquaculture:gar [weight: 6, min: 1, max: 2] }; { aquaculture:minnow [weight: 18, min: 1, max: 5] }; { aquaculture:muskellunge [weight: 3, min: 1, max: 1] }; { aquaculture:perch [weight: 20, min: 1, max: 6] }; { aquaculture:smallmouth_bass [weight: 10, min: 1, max: 3] }"
2,"minecraft:desert","{ alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:guster [weight: 35, min: 1, max: 2] }; { alexsmobs:guster [weight: 35, min: 1, max: 2] }; { majruszs_difficulty:elite_skeleton [weight: 20, min: 1, max: 1] }; { majruszs_difficulty:giant [weight: 3, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:husk [weight: 80, min: 4, max: 4] }; { minecraft:illusioner [weight: 20, min: 1, max: 2] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 19, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 1, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { alexsmobs:rattlesnake [weight: 12, min: 1, max: 2] }; { alexsmobs:rattlesnake [weight: 12, min: 1, max: 2] }; { alexsmobs:roadrunner [weight: 9, min: 2, max: 2] }; { alexsmobs:roadrunner [weight: 9, min: 2, max: 2] }; { alexsmobs:tarantula_hawk [weight: 6, min: 1, max: 1] }; { alexsmobs:tarantula_hawk [weight: 6, min: 1, max: 1] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { aquaculture:bayad [weight: 6, min: 1, max: 2] }; { aquaculture:boulti [weight: 10, min: 1, max: 3] }; { aquaculture:capitaine [weight: 1, min: 1, max: 1] }; { aquaculture:synodontis [weight: 20, min: 1, max: 6] }"
3,"minecraft:mountains","{ alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { iceandfire:troll [weight: 40, min: 1, max: 3] }; { majruszs_difficulty:elite_skeleton [weight: 20, min: 1, max: 1] }; { majruszs_difficulty:giant [weight: 3, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:illusioner [weight: 20, min: 1, max: 2] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { savageandravage:iceologer [weight: 8, min: 1, max: 1] }; { alexsmobs:sunbird [weight: 2, min: 1, max: 1] }; { alexsmobs:sunbird [weight: 2, min: 1, max: 1] }; { cavesandcliffs:goat [weight: 10, min: 4, max: 6] }; { environmental:yak [weight: 20, min: 2, max: 4] }; { iceandfire:hippogryph [weight: 2, min: 1, max: 1] }; { minecraft:llama [weight: 5, min: 4, max: 6] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { aquaculture:bluegill [weight: 20, min: 1, max: 6] }; { aquaculture:brown_trout [weight: 10, min: 1, max: 3] }; { aquaculture:carp [weight: 10, min: 1, max: 3] }; { aquaculture:catfish [weight: 1, min: 1, max: 1] }; { aquaculture:gar [weight: 6, min: 1, max: 2] }; { aquaculture:minnow [weight: 18, min: 1, max: 5] }; { aquaculture:muskellunge [weight: 3, min: 1, max: 1] }; { aquaculture:perch [weight: 20, min: 1, max: 6] }; { aquaculture:smallmouth_bass [weight: 10, min: 1, max: 3] }"
4,"minecraft:forest","{ alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { iceandfire:troll [weight: 40, min: 1, max: 3] }; { majruszs_difficulty:elite_skeleton [weight: 20, min: 1, max: 1] }; { majruszs_difficulty:giant [weight: 3, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:illusioner [weight: 20, min: 1, max: 2] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:grizzly_bear [weight: 8, min: 2, max: 3] }; { alexsmobs:grizzly_bear [weight: 8, min: 2, max: 3] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { alexsmobs:tasmanian_devil [weight: 10, min: 1, max: 2] }; { alexsmobs:tasmanian_devil [weight: 10, min: 1, max: 2] }; { environmental:deer [weight: 16, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:wolf [weight: 5, min: 4, max: 4] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { aquaculture:bluegill [weight: 20, min: 1, max: 6] }; { aquaculture:brown_trout [weight: 10, min: 1, max: 3] }; { aquaculture:carp [weight: 10, min: 1, max: 3] }; { aquaculture:catfish [weight: 1, min: 1, max: 1] }; { aquaculture:gar [weight: 6, min: 1, max: 2] }; { aquaculture:minnow [weight: 18, min: 1, max: 5] }; { aquaculture:muskellunge [weight: 3, min: 1, max: 1] }; { aquaculture:perch [weight: 20, min: 1, max: 6] }; { aquaculture:smallmouth_bass [weight: 10, min: 1, max: 3] }"
5,"minecraft:taiga","{ alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { iceandfire:troll [weight: 40, min: 1, max: 3] }; { majruszs_difficulty:elite_skeleton [weight: 20, min: 1, max: 1] }; { majruszs_difficulty:giant [weight: 3, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:illusioner [weight: 20, min: 1, max: 2] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:grizzly_bear [weight: 8, min: 2, max: 3] }; { alexsmobs:grizzly_bear [weight: 8, min: 2, max: 3] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { minecraft:fox [weight: 8, min: 2, max: 4] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:wolf [weight: 8, min: 4, max: 4] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { aquaculture:bluegill [weight: 20, min: 1, max: 6] }; { aquaculture:brown_trout [weight: 10, min: 1, max: 3] }; { aquaculture:carp [weight: 10, min: 1, max: 3] }; { aquaculture:catfish [weight: 1, min: 1, max: 1] }; { aquaculture:gar [weight: 6, min: 1, max: 2] }; { aquaculture:minnow [weight: 18, min: 1, max: 5] }; { aquaculture:muskellunge [weight: 3, min: 1, max: 1] }; { aquaculture:perch [weight: 20, min: 1, max: 6] }; { aquaculture:smallmouth_bass [weight: 10, min: 1, max: 3] }"
6,"minecraft:swamp","{ alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { majruszs_difficulty:elite_skeleton [weight: 20, min: 1, max: 1] }; { majruszs_difficulty:giant [weight: 3, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:illusioner [weight: 20, min: 1, max: 2] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 1, min: 1, max: 1] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { alexsmobs:alligator_snapping_turtle [weight: 20, min: 1, max: 2] }; { alexsmobs:alligator_snapping_turtle [weight: 20, min: 1, max: 2] }; { alexsmobs:crocodile [weight: 40, min: 1, max: 2] }; { alexsmobs:crocodile [weight: 40, min: 1, max: 2] }; { alexsmobs:shoebill [weight: 10, min: 1, max: 2] }; { alexsmobs:shoebill [weight: 10, min: 1, max: 2] }; { aquaculture:box_turtle [weight: 10, min: 1, max: 2] }; { environmental:duck [weight: 5, min: 2, max: 4] }; { environmental:slabfish [weight: 8, min: 2, max: 4] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 5, min: 1, max: 2] }; { aquaculture:bluegill [weight: 20, min: 1, max: 6] }; { aquaculture:brown_trout [weight: 10, min: 1, max: 3] }; { aquaculture:carp [weight: 10, min: 1, max: 3] }; { aquaculture:catfish [weight: 1, min: 1, max: 1] }; { aquaculture:gar [weight: 6, min: 1, max: 2] }; { aquaculture:minnow [weight: 18, min: 1, max: 5] }; { aquaculture:muskellunge [weight: 3, min: 1, max: 1] }; { aquaculture:perch [weight: 20, min: 1, max: 6] }; { aquaculture:smallmouth_bass [weight: 10, min: 1, max: 3] }; { upgrade_aquatic:perch [weight: 5, min: 1, max: 6] }; { upgrade_aquatic:pike [weight: 5, min: 1, max: 2] }"
7,"minecraft:river","{ alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { majruszs_difficulty:elite_skeleton [weight: 20, min: 1, max: 1] }; { majruszs_difficulty:giant [weight: 3, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:drowned [weight: 100, min: 1, max: 1] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:illusioner [weight: 20, min: 1, max: 2] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { alexsmobs:crocodile [weight: 40, min: 1, max: 2] }; { alexsmobs:crocodile [weight: 40, min: 1, max: 2] }; { alexsmobs:platypus [weight: 30, min: 1, max: 2] }; { alexsmobs:platypus [weight: 30, min: 1, max: 2] }; { environmental:duck [weight: 5, min: 2, max: 4] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 2, min: 1, max: 4] }; { aquaculture:bluegill [weight: 20, min: 1, max: 6] }; { aquaculture:brown_trout [weight: 10, min: 1, max: 3] }; { aquaculture:carp [weight: 10, min: 1, max: 3] }; { aquaculture:catfish [weight: 1, min: 1, max: 1] }; { aquaculture:gar [weight: 6, min: 1, max: 2] }; { aquaculture:minnow [weight: 18, min: 1, max: 5] }; { aquaculture:muskellunge [weight: 3, min: 1, max: 1] }; { aquaculture:perch [weight: 20, min: 1, max: 6] }; { aquaculture:smallmouth_bass [weight: 10, min: 1, max: 3] }; { minecraft:salmon [weight: 5, min: 1, max: 5] }; { upgrade_aquatic:pike [weight: 11, min: 1, max: 2] }"
8,"minecraft:nether_wastes","{ alexsmobs:bone_serpent [weight: 8, min: 1, max: 1] }; { alexsmobs:bone_serpent [weight: 8, min: 1, max: 1] }; { alexsmobs:dropbear [weight: 19, min: 1, max: 1] }; { alexsmobs:dropbear [weight: 19, min: 1, max: 1] }; { minecraft:enderman [weight: 1, min: 4, max: 4] }; { minecraft:ghast [weight: 50, min: 4, max: 4] }; { minecraft:magma_cube [weight: 2, min: 4, max: 4] }; { minecraft:piglin [weight: 15, min: 4, max: 4] }; { minecraft:zombified_piglin [weight: 100, min: 4, max: 4] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { minecraft:strider [weight: 60, min: 1, max: 2] }"
9,"minecraft:the_end","{ minecraft:enderman [weight: 10, min: 4, max: 4] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }"
